Weight	Group
 50.55030	Grupo 1
 61.25258	Grupo 1
 56.24894	Grupo 1
 65.65679	Grupo 1
 62.83388	Grupo 1
 73.24405	Grupo 1
 58.51261	Grupo 1
 60.90630	Grupo 1
 56.73146	Grupo 1
 67.22003	Grupo 1
 60.36340	Grupo 1
 75.02256	Grupo 1
 62.80754	Grupo 1
 60.51750	Grupo 1
 78.42197	Grupo 1
 73.45075	Grupo 1
 64.05179	Grupo 1
 65.38776	Grupo 1
 76.63673	Grupo 1
 55.08314	Grupo 1
 80.88494	Grupo 1
 88.58204	Grupo 1
 71.54954	Grupo 1
 48.32583	Grupo 1
 40.44927	Grupo 1
 74.15086	Grupo 1
 84.90795	Grupo 1
 58.40049	Grupo 1
 60.76984	Grupo 1
 70.56893	Grupo 1
 75.76796	Grupo 1
 71.19564	Grupo 1
 51.64917	Grupo 1
 62.73287	Grupo 1
 56.24910	Grupo 1
 73.99910	Grupo 1
 79.95774	Grupo 1
 55.57182	Grupo 1
 76.37397	Grupo 1
 66.56973	Grupo 1
 65.86066	Grupo 1
 71.20084	Grupo 1
 54.67018	Grupo 1
 70.40050	Grupo 1
 69.47970	Grupo 1
 66.60614	Grupo 1
 75.68068	Grupo 1
 56.37009	Grupo 1
 72.16496	Grupo 1
 67.85384	Grupo 1
 71.69780	Grupo 1
 70.04701	Grupo 1
 70.33570	Grupo 1
 54.63944	Grupo 1
 53.33180	Grupo 1
 42.86249	Grupo 1
 40.68829	Grupo 1
 55.59472	Grupo 1
 53.09797	Grupo 1
 75.49655	Grupo 1
 43.54653	Grupo 1
 51.60253	Grupo 1
 45.47439	Grupo 1
 71.48804	Grupo 1
 71.06496	Grupo 1
 65.36183	Grupo 1
 57.63302	Grupo 1
 71.52314	Grupo 1
 60.26910	Grupo 1
 76.11950	Grupo 1
 43.15393	Grupo 1
 74.32763	Grupo 1
 73.74856	Grupo 1
 64.92062	Grupo 1
 76.22805	Grupo 1
 64.14468	Grupo 1
 46.66684	Grupo 1
 57.44771	Grupo 1
 49.52070	Grupo 1
 49.02281	Grupo 1
 75.89785	Grupo 1
 66.45265	Grupo 1
 64.02100	Grupo 1
 74.89705	Grupo 1
106.29634	Grupo 1
 62.43153	Grupo 1
 85.64085	Grupo 1
 75.20969	Grupo 1
 78.75479	Grupo 1
 71.47283	Grupo 1
 72.24819	Grupo 1
 72.96063	Grupo 1
 81.44395	Grupo 1
 59.13345	Grupo 1
 56.81112	Grupo 1
 63.75622	Grupo 1
 49.76463	Grupo 1
 75.51193	Grupo 1
 66.75562	Grupo 1
 44.02623	Grupo 1
 76.37441	Grupo 2
 63.37802	Grupo 2
 69.73950	Grupo 2
 70.36453	Grupo 2
 68.46488	Grupo 2
